1767643302.461387 server started (3948): version 3.6a, socket /private/tmp/tmux-501/default, protocol 8
1767643302.461420 on Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Jul 14 11:30:29 PDT 2025; root:xnu-11417.140.69~1/RELEASE_ARM64_T6000
1767643302.461425 using libevent 2.1.12-stable select
1767643302.461432 using utf8proc 2.11.2
1767643302.461436 using ncurses 6.5 20240427
1767643302.461637 input_key_build: 0x10e003 (PasteStart) is \033[200~
1767643302.461649 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1767643302.461672 input_key_build: 0x10e25b (F1) is \033OP
1767643302.461679 input_key_build: 0x10e25c (F2) is \033OQ
1767643302.461685 input_key_build: 0x10e25d (F3) is \033OR
1767643302.461690 input_key_build: 0x10e25e (F4) is \033OS
1767643302.462280 input_key_build: 0x10e25f (F5) is \033[15~
1767643302.462294 input_key_build: 0x10e260 (F6) is \033[17~
1767643302.462305 input_key_build: 0x10e261 (F7) is \033[18~
1767643302.462311 input_key_build: 0x10e262 (F8) is \033[19~
1767643302.462317 input_key_build: 0x10e263 (F9) is \033[20~
1767643302.462322 input_key_build: 0x10e264 (F10) is \033[21~
1767643302.462330 input_key_build: 0x10e265 (F11) is \033[23~
1767643302.462335 input_key_build: 0x10e266 (F12) is \033[24~
1767643302.462341 input_key_build: 0x10e267 (IC) is \033[2~
1767643302.462346 input_key_build: 0x10e268 (DC) is \033[3~
1767643302.462350 input_key_build: 0x10e269 (Home) is \033[1~
1767643302.462356 input_key_build: 0x10e26a (End) is \033[4~
1767643302.462361 input_key_build: 0x10e26b (NPage) is \033[6~
1767643302.462367 input_key_build: 0x10e26c (PPage) is \033[5~
1767643302.462372 input_key_build: 0x10e26d (BTab) is \033[Z
1767643302.462376 input_key_build: 0x10e26e (Up) is \033[A
1767643302.462382 input_key_build: 0x10e26f (Down) is \033[B
1767643302.462387 input_key_build: 0x10e270 (Left) is \033[D
1767643302.462392 input_key_build: 0x10e271 (Right) is \033[C
1767643302.462398 input_key_build: 0x10e272 (KP/) is /
1767643302.462404 input_key_build: 0x10e273 (KP*) is *
1767643302.462410 input_key_build: 0x10e274 (KP-) is -
1767643302.462416 input_key_build: 0x10e275 (KP7) is 7
1767643302.462421 input_key_build: 0x10e276 (KP8) is 8
1767643302.462426 input_key_build: 0x10e277 (KP9) is 9
1767643302.462431 input_key_build: 0x10e278 (KP+) is +
1767643302.462436 input_key_build: 0x10e279 (KP4) is 4
1767643302.462466 input_key_build: 0x10e27a (KP5) is 5
1767643302.462475 input_key_build: 0x10e27b (KP6) is 6
1767643302.462482 input_key_build: 0x10e27c (KP1) is 1
1767643302.462487 input_key_build: 0x10e27d (KP2) is 2
1767643302.462495 input_key_build: 0x10e27e (KP3) is 3
1767643302.462503 input_key_build: 0x10e27f (KPEnter) is \n
1767643302.462511 input_key_build: 0x10e280 (KP0) is 0
1767643302.462517 input_key_build: 0x10e281 (KP.) is .
1767643302.462524 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1767643302.462530 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1767643302.462537 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1767643302.462545 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1767643302.462551 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1767643302.462556 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1767643302.462562 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1767643302.462599 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1767643302.462607 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1767643302.462612 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1767643302.462615 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1767643302.462619 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1767643302.462623 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1767643302.462626 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1767643302.462630 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1767643302.462634 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1767643302.462637 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1767643302.462641 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1767643302.462644 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1767643302.462655 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1767643302.462657 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1767643302.462660 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1767643302.462662 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1767643302.462665 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1767643302.462667 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1767643302.462671 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1767643302.462673 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1767643302.462676 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1767643302.462678 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1767643302.462681 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1767643302.462683 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1767643302.462686 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1767643302.462688 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1767643302.462690 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1767643302.462694 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1767643302.462696 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1767643302.462699 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1767643302.462702 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1767643302.462705 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1767643302.462708 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1767643302.462710 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1767643302.462712 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1767643302.462716 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1767643302.462718 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1767643302.462721 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1767643302.462723 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1767643302.462726 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1767643302.462729 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1767643302.462731 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1767643302.462734 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1767643302.462736 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1767643302.462739 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1767643302.462741 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1767643302.462744 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1767643302.462747 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1767643302.462750 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1767643302.462752 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1767643302.462755 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1767643302.462758 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1767643302.462760 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1767643302.462763 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1767643302.462766 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1767643302.462769 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1767643302.462771 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1767643302.462774 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1767643302.462776 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1767643302.462779 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1767643302.462782 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1767643302.462784 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1767643302.462787 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1767643302.462789 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1767643302.462792 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1767643302.462795 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1767643302.462797 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1767643302.462800 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1767643302.462806 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1767643302.462809 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
